interval,ave_hfr,count
1980-1984,0.50216,11.13333333
1985-1989,0.500832,16
1990-1994,0.495952,12.11111111
1995-1999,0.442232,12.33333333
2000-2004,0.39828,6.933333333
2005-2009,0.383732,13.04545455
2010-2014,0.387808,13.08695652
