interval,ave_hfr,count
1980-1984,0.50216,97
1985-1989,0.500832,53
1990-1994,0.495952,108
1995-1999,0.442232,123
2000-2004,0.39828,73
2005-2009,0.383732,164
2010-2014,0.387808,158
