interval,ave_hfr,count
1980-1984,0.50216,6.466666667
1985-1989,0.500832,6.625
1990-1994,0.495952,6
1995-1999,0.442232,5.857142857
2000-2004,0.39828,4.866666667
2005-2009,0.383732,7.454545455
2010-2014,0.387808,6.869565217
